father	identity	2.68213333333	1.48788715098	2.59561645671	-2.70630889162	-0.729922808447	0.1	0.1	0.1	0.1	0.1	2.69813333333	-2.23348604774	2.26300598019	3.18356673516	0.533768552491	0.1	0.1	0.1	0.1	0.1	1.10773333333	-1.87949794527	-1.05548717907	3.663827957	2.7354641365	0.1	0.1	0.1	0.1	0.1	50.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0
taleban	identity	-1.757326276	-3.30260381534	0.449684453842	1.76455156721	-3.91300880243	0.1	0.1	0.1	0.1	0.1	0.389699113034	4.24101740658	4.1872664621	3.07393885878	3.63951353036	0.1	0.1	0.1	0.1	0.1	0.673757102485	2.1306905217	-3.59071502033	-0.135303116946	-2.81704027906	0.1	0.1	0.1	0.1	0.1	10.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0
shoplifter	identity	-2.55174603175	-0.440771007499	-1.09945583183	2.3145306393	2.43452993317	0.1	0.1	0.1	0.1	0.1	-1.05523809524	3.01053606242	0.0629469116655	3.05066499101	3.16767044253	0.1	0.1	0.1	0.1	0.1	-0.271428571429	-0.879957148564	2.47885480914	-1.63334142525	-0.100429490964	0.1	0.1	0.1	0.1	0.1	50.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0
sniper	identity	-2.47579427342	-1.70811559467	-3.06300982994	0.337541983712	-0.0895173041529	0.1	0.1	0.1	0.1	0.1	0.874520309644	-4.11112308778	-3.85351628827	3.3890045405	3.44620300376	0.1	0.1	0.1	0.1	0.1	1.41865458217	-0.234051538366	2.69877749194	1.4130372484	-2.05405616273	0.1	0.1	0.1	0.1	0.1	10.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0
merchant	identity	0.962253521127	4.02630383876	-0.241754775028	2.73680609361	3.50338566928	0.1	0.1	0.1	0.1	0.1	0.832957746479	0.267507593289	-1.25016075865	0.810889782215	-0.083448653542	0.1	0.1	0.1	0.1	0.1	0.904507042254	2.12873915595	0.390616063705	-2.6083624621	0.0869732736843	0.1	0.1	0.1	0.1	0.1	50.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0
woman	identity	2.06617647059	-3.50511592131	1.50379053331	-0.712920594209	-1.76848798623	0.1	0.1	0.1	0.1	0.1	0.901764705882	-0.54465798902	2.54647912905	-1.2562595393	0.784687178688	0.1	0.1	0.1	0.1	0.1	1.08382352941	2.39532335983	-1.98862611728	-1.68837627651	1.79723419496	0.1	0.1	0.1	0.1	0.1	50.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0
jerk	identity	-2.58347826087	3.51305962645	0.0569234216299	3.13397439564	1.09390768176	0.1	0.1	0.1	0.1	0.1	-0.149855072464	-0.850441240661	-3.34496242732	-0.100436605391	1.96070793374	0.1	0.1	0.1	0.1	0.1	1.41507246377	2.2531388492	0.297646824448	-3.74693157873	-0.957775678647	0.1	0.1	0.1	0.1	0.1	50.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0
patrolman	identity	0.453157894737	-2.83183682796	-1.87161885682	-2.98305062341	2.81608464092	0.1	0.1	0.1	0.1	0.1	1.40315789474	-0.78943897366	-3.68583642089	-0.852150502147	-3.78874702035	0.1	0.1	0.1	0.1	0.1	0.451315789474	-3.85529636726	1.21766252311	-2.94880126275	-1.70309019594	0.1	0.1	0.1	0.1	0.1	50.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0
assad	identity	-0.310604103589	3.95912927131	-3.50546928472	3.50210306176	1.15025654396	0.1	0.1	0.1	0.1	0.1	-0.116068837502	3.94971654169	1.27030546255	0.697974819263	4.15141501842	0.1	0.1	0.1	0.1	0.1	0.555790900428	-0.463464294676	1.40989547401	-2.17191171269	-1.87133083929	0.1	0.1	0.1	0.1	0.1	10.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0
right-hand man	identity	1.43963636364	-0.487523512226	0.194269608688	-1.10546977797	2.84636325272	0.1	0.1	0.1	0.1	0.1	1.024	1.29218062475	4.02431175656	-1.82368539131	-1.33169395458	0.1	0.1	0.1	0.1	0.1	0.886181818182	-0.11973898529	-0.669993691337	1.48061941936	3.84347481604	0.1	0.1	0.1	0.1	0.1	50.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0
scholar	identity	1.89789473684	0.874904832552	-2.72738490278	1.78760611245	-0.320733628595	0.1	0.1	0.1	0.1	0.1	1.47210526316	3.88203137683	-3.30045729887	3.98975530759	4.08240101203	0.1	0.1	0.1	0.1	0.1	0.201315789474	-3.09402505198	0.994120243458	1.64686817763	2.80574892205	0.1	0.1	0.1	0.1	0.1	50.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0
policeman	identity	-0.131049362527	4.17274410271	-4.22460100939	-1.47343272443	-3.03834397964	0.1	0.1	0.1	0.1	0.1	-1.45321574411	1.32551856023	-1.07339039836	3.36463222559	2.02636501784	0.1	0.1	0.1	0.1	0.1	0.319402241634	4.21504465715	1.97039324904	1.4743105185	-1.68534670611	0.1	0.1	0.1	0.1	0.1	10.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0
skilled worker	identity	2.23352941176	-1.66378130195	3.1258428252	0.422038912178	4.25770577191	0.1	0.1	0.1	0.1	0.1	1.76117647059	-1.77686485963	1.23374782349	-0.705116356764	3.93113059176	0.1	0.1	0.1	0.1	0.1	1.26117647059	-2.70888826859	0.376468015357	-2.11365622022	2.45087256805	0.1	0.1	0.1	0.1	0.1	50.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0
